alias,normalized_alias,material_id,alias_type,confidence
6061,6061,al_6061,partial,high
EN AW-6061,enaw6061,al_6061,EN,high
ENAW6061,enaw6061,al_6061,EN,high
A96061,a96061,al_6061,UNS,high
A6061,a6061,al_6061,JIS,high
7075,7075,al_7075,partial,high
EN AW-7075,enaw7075,al_7075,EN,high
AW7075,aw7075,al_7075,partial,high
A97075,a97075,al_7075,UNS,high
304,304,ss_304,partial,high
AISI 304,aisi304,ss_304,AISI,high
S30400,s30400,ss_304,UNS,high
1.4301,14301,ss_304,DIN,high
SUS304,sus304,ss_304,JIS,high
316,316,ss_316,partial,high
AISI 316,aisi316,ss_316,AISI,high
S31600,s31600,ss_316,UNS,high
1.4401,14401,ss_316,DIN,high
SUS316,sus316,ss_316,JIS,high
303,303,ss_303,partial,high
AISI 303,aisi303,ss_303,AISI,high
1.4305,14305,ss_303,DIN,high
S30300,s30300,ss_303,UNS,high
4140,4140,alloy_4140,partial,medium
42CrMo4,42crmo4,alloy_4140,ISO,medium
1.7225,17225,alloy_4140,DIN,medium
SCM440,scm440,alloy_4140,JIS,medium
Delrin,delrin,pom,alias,high
POM,pom,pom,partial,high
Teflon,teflon,ptfe,alias,high
PTFE,ptfe,ptfe,partial,high
Nylon,nylon,nylon_pa,alias,high
Polyamide,polyamide,nylon_pa,alias,high
PA,pa,nylon_pa,partial,high
PEEK,peek,peek,partial,high
Brass,brass,brass_ms58,partial,medium
Copper,copper,copper_cw004a,partial,medium
